D_foul1 (m),D_foul2 (m),D_foul3 (m),mfr1 (kg/s),mfr2 (kg/s),Inner inlet temperature (K),Inner outlet temperature (K),Outer inlet temperature (K),Outer outlet temperature (K),Inner Pressure Drop (Pa),Outer Pressure Drop (Pa)
9.90E-04,3.32E-04,6.10E-04,1.706,0.536,349.24,346.56,300.7,308.39,1595.2,7.4916
1.43E-04,7.98E-04,0.001348,1.428,0.753,368.12,363.35,306.44,314.4,947.97,13.976
0.001159,5.07E-04,9.15E-04,1.966,0.732,344.49,342.29,303.48,308.63,2147.5,12.938
0.001113,7.27E-04,0.001194,0.212,0.778,371.25,350.48,307.52,312.65,48.271,14.631
3.87E-04,0.001191,9.95E-04,0.795,1.971,351.52,344,296.24,299.01,369.24,87.115
4.54E-04,7.24E-04,3.20E-04,0.622,1.843,340.73,334.51,308.86,310.82,254.01,67.948
1.88E-04,5.67E-04,0.001177,0.516,2.37,366.37,345.77,290.64,294.76,166.83,121.79
2.06E-04,1.46E-04,5.68E-04,1.686,2.275,364.52,354.34,299.44,306.26,1308.4,99.89
3.97E-04,7.69E-04,0.001325,1.352,0.681,359.34,354.57,290.96,299.46,919.89,12.91
3.98E-04,0.001081,4.11E-04,1.78,1.206,342.21,339.82,302,305.13,1556.9,31.619
9.39E-04,9.97E-04,8.24E-04,0.184,0.518,366.8,346.09,295.28,302.04,35.945,7.9707
3.78E-04,4.10E-04,0.001428,0.467,0.402,371.78,358.91,291.22,304.71,140.53,5.3606
5.80E-05,2.74E-04,0.001157,1.918,1.723,359.83,353.7,307.08,313.21,1609,62.766
6.01E-04,4.44E-04,3.12E-04,1.939,1.33,359.5,355.4,309.76,314.96,1819.7,35.605
1.39E-04,1.75E-04,4.04E-04,1.259,0.954,358.71,351.5,294.12,302.74,774.96,19.392
8.19E-04,2.76E-04,3.01E-04,0.258,2.116,369.04,339.41,298.34,301.67,66.884,87.264
9.44E-04,1.83E-04,0.001045,1.578,1.341,346.7,342.29,302.04,306.79,1387.2,38.859
1.41E-04,1.64E-04,0.001386,1.318,1.381,364.35,355.34,304.98,312.69,832.4,41.909
4.93E-04,0.001189,8.98E-04,0.691,2.273,340.83,333.99,295.6,297.53,306.27,113.5
3.81E-04,0.001215,2.29E-04,1.935,2.42,354.85,351.64,308.28,310.57,1752,113.48
1.59E-04,2.44E-04,4.46E-04,0.224,2.252,365.28,331.32,293.7,296.85,46.083,100.52
5.26E-04,0.001225,9.52E-04,0.657,2.074,361.55,350.64,292.38,295.52,266.36,96.272
3.48E-04,0.001051,3.47E-04,0.609,1.551,342.61,335.86,300.98,303.46,238.92,50.872
9.80E-04,8.29E-04,8.37E-04,0.689,1.706,351.85,344.91,309.82,312.37,322.57,62.133
0.001006,3.87E-04,8.13E-04,0.25,1.549,356.86,337.57,304.74,307.62,65.404,50.701
6.96E-04,6.55E-04,3.92E-04,0.431,1.001,367.09,352.1,296.06,301.94,133.88,21.817
5.59E-04,0.001216,0.001065,1.466,1.047,351.32,347.63,292.52,297.12,1114.8,26.91
6.85E-04,9.20E-04,5.22E-04,1.517,2.101,368.84,362.44,299.3,303.33,1173.6,91.015
0.00113,7.18E-04,0.001366,1.084,1.803,351.39,345.18,296.76,300.16,733.52,73.921
9.02E-04,7.90E-05,0.001377,0.178,1.389,347.36,325.3,295.9,298.58,34.887,43.544
0.001105,4.90E-04,0.001268,1.736,1.807,352.67,348.26,302.88,306.66,1674.6,71.554
0.001184,5.24E-04,4.28E-04,1.92,2.141,347,343.08,298.38,301.5,2061.6,91.759
5.88E-04,2.79E-04,2.28E-04,1.118,0.726,363.5,357.34,305.6,313.99,676.26,11.39
5.76E-04,0.001063,2.47E-04,0.666,1.192,347.95,342.01,305.38,308.41,284.22,30.248
2.81E-04,6.27E-04,5.75E-04,1.192,1.238,350.99,345.09,291.22,296.38,735.08,33.174
3.80E-04,6.55E-04,4.59E-04,0.186,2.042,357.42,332.76,300.88,302.97,33.694,84.692
5.59E-04,7.14E-04,0.001076,1.631,2.487,358.68,353.36,306.88,310.02,1328.9,125.69
0.001145,0.001089,8.07E-04,1.153,0.81,360.69,355.63,290.84,297.22,801.11,16.887
4.13E-04,2.66E-04,1.77E-04,1.162,0.837,365.38,358.35,300.94,309.68,697.91,14.713
8.58E-04,8.50E-05,2.74E-04,1.588,0.946,345.21,341.29,298.04,303.98,1383.2,18.679
5.65E-04,7.58E-04,5.80E-05,1.681,1.127,357,352.8,293.76,299.32,1407.3,26.476
9.21E-04,6.91E-04,7.40E-05,1.905,1.568,368.78,363.72,298.38,303.78,1846.4,48.955
9.25E-04,0.001203,6.49E-04,1.947,1.479,353.37,350.39,298.82,302.26,1976.8,48.307
5.21E-04,6.44E-04,6.00E-04,1.225,0.879,368.25,361.84,298.04,305.85,777.37,17.411
9.65E-04,0.001035,2.28E-04,1.827,0.906,371.61,367.36,291.14,298.47,1717.9,18.944
2.94E-04,3.94E-04,7.28E-04,0.168,0.94,370.62,339.48,296.84,301.97,27.175,19.977
4.11E-04,8.86E-04,6.70E-05,0.44,2.401,363.69,346.53,296.98,299.88,134.05,112.68
7.17E-04,4.72E-04,9.40E-04,1.278,2.485,347.26,340.65,297.18,300.3,914.51,127.82
5.38E-04,7.87E-04,4.01E-04,1.426,1.742,356.17,350.35,292.68,296.98,1048.3,63.056
4.40E-04,9.85E-04,3.45E-04,1.367,0.612,351.06,347.72,296.48,303.13,962.13,9.7681
1.45E-04,5.18E-04,2.28E-04,1.951,1.116,355.74,352.22,309.5,314.92,1696.1,25.426
5.62E-04,5.52E-04,6.70E-04,1.744,0.833,352.94,349.61,302.36,308.52,1513.6,15.715
0.001193,7.87E-04,0.001034,0.816,2.015,366.17,357.38,309.56,312.74,436.12,86.091
1.79E-04,9.76E-04,5.74E-04,1.829,0.919,348.81,346.09,301.5,306.25,1542.9,19.174
3.86E-04,3.20E-04,5.60E-04,1.724,0.461,347.49,344.65,292.3,301.83,1449.7,6.1745
0.001034,0.001075,2.32E-04,0.628,1.16,354.55,347.48,303.64,307.14,275.64,28.714
0.001153,3.73E-04,6.07E-04,1.592,1.345,369.11,363.24,306.48,312.58,1402.3,37.381
6.94E-04,0.001228,8.91E-04,0.168,1.767,350.2,330.97,298.04,299.76,29.586,70.373
0.001052,0.001212,9.59E-04,1.816,1.95,352.97,349.98,306.02,308.48,1791.5,83.494
9.41E-04,9.33E-04,3.79E-04,0.828,2.025,346.47,340.18,300.58,302.93,446.85,84.055
0.001076,8.10E-04,7.37E-04,0.132,1.759,340.13,325.21,307.12,308.19,20.441,65.658
9.02E-04,6.86E-04,0.001065,0.915,0.495,352.47,347.63,293.9,302.06,517.68,7.4141
6.95E-04,0.001224,0.001395,1.189,0.902,368.58,363.52,304.04,309.86,761.04,20.207
1.83E-04,0.001086,8.17E-04,0.252,1.32,367.16,346.96,302.72,306.25,55.571,39.077
5.26E-04,4.26E-04,4.32E-04,1.715,2.132,348.75,343.29,296.38,300.35,1476.9,90.553
0.00111,5.79E-04,4.17E-04,1.626,1.017,360.72,356.69,303.84,309.52,1465.1,21.928
2.86E-04,3.31E-04,0.001089,1.191,2.139,340.23,334.31,302.94,305.98,756.43,95.83
2.79E-04,7.20E-05,0.001157,0.902,1.925,368.22,353.19,309.62,315.99,436.69,75.64
9.80E-05,2.55E-04,0.001029,1.153,0.982,355.71,349.07,302.1,309.12,662.22,21.389
2.00E-04,2.62E-04,8.31E-04,1.054,1.836,366.99,353.73,293.98,300.84,566.23,69.677
1.06E-04,9.32E-04,1.89E-04,1.457,1.5,355.74,351.42,308.06,311.83,1000.9,45.815
6.27E-04,6.96E-04,3.02E-04,1.755,1.41,371.15,365.75,303.82,309.7,1498,40.575
1.45E-04,3.76E-04,6.13E-04,1.806,1.129,361.81,357,307.98,314.85,1461,26.727
0.001123,9.26E-04,7.70E-05,1.69,1.601,346.44,342.9,292.58,295.86,1623.3,52.624
1.04E-04,4.35E-04,0.001303,0.282,0.671,347.33,332.63,290.1,295.91,68.856,12.78
6.07E-04,9.09E-04,6.34E-04,1.932,0.48,342.64,340.95,300.78,306.85,1872.8,6.6461
7.48E-04,2.13E-04,0.001134,1.544,0.419,345.08,342.59,300.48,308.84,1285.2,5.2942
4.25E-04,8.12E-04,2.84E-04,0.807,1.295,361.05,352.88,303.58,308.16,372.31,34.875
8.71E-04,3.56E-04,4.92E-04,1.888,1.406,356.14,351.51,299.5,304.97,1843.6,40.603
4.19E-04,0.001021,4.87E-04,1.335,0.658,341.85,338.77,290.26,295.93,939.93,11.849
5.08E-04,3.69E-04,5.02E-04,1.673,0.749,343.1,340.25,301.24,307,1422.1,12.913
1.93E-04,0.001213,3.97E-04,0.883,1.44,353.37,347.92,308.24,311.26,423.45,44.179
7.66E-04,6.75E-04,3.38E-04,1.966,1.757,350.07,346.57,302.56,306.06,1964.4,62.455
4.89E-04,9.04E-04,6.24E-04,1.569,1.282,354.19,350.67,308.72,312.57,1232.6,35.479
0.001022,1.09E-04,6.42E-04,1.217,1.803,350.59,342.64,295.24,300.14,885.02,65.824
5.79E-04,0.001058,9.25E-04,1.335,2.202,370.39,363.13,296.46,300.34,913.28,105.27
9.08E-04,2.83E-04,0.001129,0.714,0.56,364.22,355.17,292.88,303.36,327.91,8.7106
3.44E-04,6.28E-04,7.70E-05,0.841,1.511,371.78,360.14,300.62,306.36,385.78,45.262
1.89E-04,1.46E-04,0.001352,0.539,0.73,357.13,345.06,298.06,306.3,181.27,13.336
5.44E-04,8.22E-04,7.40E-04,0.197,1.778,346.01,330.23,304.68,306.32,38.629,67.332
4.90E-04,0.001248,2.71E-04,0.721,1.089,355.21,348.84,303.3,307.07,313.8,25.82
3.18E-04,1.99E-04,3.36E-04,1.094,1.668,366.14,353.54,290.5,297.92,619.34,55.071
1.45E-04,3.52E-04,0.001409,0.294,2.221,340.66,327.75,308.14,309.77,75.432,104.94
8.56E-04,5.22E-04,1.59E-04,1.656,0.7,353.73,350.77,308.44,314.51,1458.9,10.773
2.50E-04,2.94E-04,3.99E-04,1.903,1.981,364.72,357.12,297.46,304,1632.7,76.835
8.73E-04,6.13E-04,2.25E-04,1.825,1.658,354.88,350.59,300.1,304.29,1739.7,55.153
8.60E-04,2.96E-04,5.60E-05,1.639,0.669,363.63,359.4,303.46,312.51,1406,9.8645
9.37E-04,6.13E-04,0.001227,1.989,1.488,362.7,357.85,291.08,296.75,2024,50.036
0.001131,4.83E-04,0.001236,0.322,1.242,356.1,341.75,306.12,309.58,102.17,34.887
3.40E-04,6.45E-04,0.001223,0.32,0.959,368.22,349.15,297.96,303.81,82.339,21.839
5.25E-04,8.74E-04,6.73E-04,1.508,1.96,346.4,342.12,298.52,301.46,1179.2,81.305
7.92E-04,6.66E-04,8.58E-04,1.538,1.591,361.85,355.92,294.04,299.14,1245.3,54.859
0.001093,2.40E-04,6.24E-04,1.981,0.658,358.15,354.71,296.68,305.81,2088.6,10.518
1.79E-04,0.001035,0.001079,0.491,1.389,357.39,345.33,294.5,298.43,155.15,44.518
2.09E-04,1.16E-04,0.001215,1.238,1.843,342.64,334.91,296.58,301.39,795.17,72.676
3.98E-04,9.46E-04,7.61E-04,0.569,2.187,364.59,351.07,299.9,303.1,202.15,101.02
1.45E-04,9.12E-04,3.17E-04,1.316,1.796,347.79,342.43,291.8,295.39,859.29,67.097
0.001162,8.11E-04,3.40E-04,0.957,0.463,369.96,364.63,304.32,314.01,566.47,5.7311
5.12E-04,9.74E-04,3.93E-04,0.174,1.941,351.48,330.49,298.34,300.11,30.571,78.504
1.75E-04,7.65E-04,8.52E-04,1.975,0.912,368.25,364.34,306.14,313.39,1702,18.733
0.001088,6.45E-04,2.15E-04,0.729,1.391,354.55,346.87,304.92,308.55,360.93,39.355
0.001193,5.79E-04,0.001083,0.421,1.112,369.9,354.53,302.22,307.5,140.1,27.913
2.40E-04,2.65E-04,2.84E-04,1.557,1.83,355.48,347.59,291.34,297.45,1162.1,65.941
9.27E-04,3.36E-04,0.00119,1.818,0.532,361.68,358.54,307.34,316.73,1719.8,7.4037
9.50E-05,0.001132,8.10E-05,0.541,2.048,363.46,350.45,299.46,302.6,175.69,84.269
6.56E-04,6.15E-04,0.001271,0.474,0.652,363.33,352.4,303.66,310.88,155.72,10.993
0.001036,2.10E-04,9.18E-04,1.498,1.398,358.45,352.58,304.62,310.2,1255.9,41.287
2.92E-04,9.63E-04,0.001111,0.575,2.105,368.84,354,297.46,301.13,199.63,97.867
8.46E-04,3.49E-04,7.63E-04,1.719,1.389,364.62,358.36,291.64,298.55,1527.3,40.924
5.76E-04,8.48E-04,2.59E-04,0.292,2.458,357.03,336.02,290.98,293.31,80.287,121.72
5.28E-04,0.001153,0.001008,0.64,0.665,351.88,345.99,303.18,308.32,259.67,11.641
5.55E-04,3.26E-04,8.66E-04,1.77,2.145,340.63,335.86,294.96,298.61,1601.3,95.61
0.001009,0.001238,0.001344,0.275,0.891,367.06,350.66,299.86,304.47,74.58,20.193
5.17E-04,8.42E-04,0.001139,1.379,2.193,371.52,363.76,299.76,304.08,954.41,104.44
4.20E-04,7.53E-04,5.15E-04,0.835,1.41,342.61,337.33,304.58,307.47,413.82,42.068
5.00E-04,6.30E-04,7.91E-04,1.373,1.437,370.66,363.12,296.88,303.26,945.24,44.362
5.18E-04,6.02E-04,5.33E-04,0.168,0.526,354.32,337.64,304.76,309.72,28.189,7.3264
4.87E-04,6.76E-04,5.12E-04,0.248,1.58,364.39,339.66,291.92,295.51,58.117,52.825
6.76E-04,1.00E-04,7.86E-04,1.44,1.16,357.95,351.56,301.24,308.36,1092.2,28.337
9.26E-04,0.001026,0.001159,1.174,2.221,343.1,338.13,292.76,295.15,827.1,111.02
8.80E-05,8.96E-04,9.56E-04,1.409,1.899,372.27,364.17,293.62,298.94,911.93,78.749
2.37E-04,9.90E-04,8.44E-04,0.628,1.715,361.32,349.42,293.34,297.31,233.81,64.91
4.94E-04,2.53E-04,0.001254,0.68,1.206,365.38,352.36,302.14,308.75,278.93,32.341
7.31E-04,2.00E-04,0.001044,1.84,0.952,347.46,344.06,300.8,306.71,1743.2,20.34
5.32E-04,7.32E-04,0.001325,1.331,1.292,353.86,348.53,293.94,298.86,930.7,38.889
1.55E-04,6.04E-04,4.69E-04,1.869,1.431,346.8,342.85,295.26,299.86,1606.3,42.899
0.001134,9.62E-04,9.68E-04,1.914,0.73,349.34,346.84,293.46,299.3,2015.3,14.169
9.65E-04,2.47E-04,3.03E-04,0.643,1.723,356.67,343.81,298,302.4,284.74,58.684
6.51E-04,1.64E-04,0.001415,0.461,2.198,367.82,344.71,301.22,305.68,151.37,103.08
0.001085,0.001038,9.63E-04,0.723,0.566,350.63,345.44,297.36,303.43,357.94,9.2263
7.71E-04,8.04E-04,0.001075,0.212,2.057,351.19,334.17,306.94,308.57,46.007,90.979
4.66E-04,3.22E-04,7.88E-04,0.556,1.45,371.71,354.05,301.8,307.92,194.2,44.065
6.78E-04,4.65E-04,0.00137,1.717,0.755,340.73,338.58,307.36,311.82,1547.1,13.967
3.98E-04,8.91E-04,0.001418,0.993,1.836,366.2,357.22,298.6,302.94,527.39,77.165
5.57E-04,4.50E-04,5.95E-04,1.251,1.095,353.07,347.68,299.2,304.72,839.52,25.66
7.94E-04,0.001212,7.43E-04,1.757,1.547,341.06,338.36,294.94,297.66,1649.2,53.7
9.45E-04,9.10E-04,0.001015,1.603,2.349,372.31,365.71,296.98,300.9,1354.9,118.78
8.70E-04,9.18E-04,5.75E-04,0.526,0.555,358.45,349.92,294.88,302.25,195.45,8.5862
4.03E-04,8.10E-05,4.13E-04,1.373,1.062,348.61,342.79,292.96,299.86,972.07,23.6
3.32E-04,0.001153,4.46E-04,1.413,2.101,356.83,352.12,305.14,307.95,987.97,90.791
3.81E-04,0.001226,3.86E-04,1.291,2.149,359.37,354.36,307.32,310,845.03,93.924
6.86E-04,4.98E-04,5.43E-04,1.464,2.334,353.93,347.86,303.06,306.49,1136.9,107.21
7.34E-04,4.41E-04,1.70E-04,0.854,1.383,344.79,337.72,293.52,297.57,455.87,38.816
5.65E-04,4.83E-04,5.46E-04,0.742,0.4,351.62,346.97,306.28,314.16,336.9,4.5558
6.19E-04,4.30E-04,8.40E-04,0.803,1.024,356.14,348.11,299.58,305.3,388.14,23.168
0.001182,4.16E-04,6.35E-04,1.648,1.563,342.31,339.2,306.58,309.57,1585.3,50.536
3.50E-04,6.03E-04,0.001352,1.236,1.818,351.98,344.86,292.14,296.54,793.82,74.662
1.17E-04,1.45E-04,8.58E-04,1.831,2.08,351.58,344.36,299.02,304.81,1527.2,87.541
0.001191,3.82E-04,1.30E-04,0.982,2.08,358.51,349.18,297.16,301.17,615.82,83.459
0.001044,0.001195,0.001195,1.333,0.761,346.8,344.33,308.7,312.47,1045.3,14.523
2.08E-04,1.09E-04,6.11E-04,1.16,2.319,361.42,349.12,305.88,311.51,679.86,101.46
4.08E-04,0.001146,8.34E-04,0.712,1.908,360.63,352.17,307.96,310.77,298.75,78.361
5.50E-04,9.87E-04,0.001275,1.379,1.288,354.75,350.49,302.52,306.61,991.06,38.788
5.34E-04,5.40E-04,4.74E-04,1.542,0.765,357.72,353.73,302.68,309.81,1196.9,13.244
6.58E-04,0.001178,7.39E-04,0.206,1.857,350.73,332.49,296.44,298.34,42.842,76.06
3.15E-04,1.04E-04,0.001437,0.784,1.416,345.25,334.81,290.46,295.86,364.83,45.194
6.42E-04,4.94E-04,0.001016,1.744,2.132,369.93,362.47,298.06,303.42,1491.9,95.577
4.00E-04,3.84E-04,4.50E-04,1.16,2.437,355.05,345.8,298.78,302.78,713.38,115.57
9.15E-04,7.35E-04,1.35E-04,0.469,1.484,370.95,355.27,301.12,305.59,158.4,44.48
8.00E-05,7.27E-04,0.001352,0.11,0.684,359.11,328.83,290.52,295.09,12.201,13.684
0.00109,0.001209,5.30E-04,0.212,1.519,366.24,343.07,291.62,294.59,48.629,50.889
9.73E-04,5.96E-04,0.001037,1.671,1.175,372.67,367.59,309.88,316.15,1464.6,30.521
1.02E-04,5.24E-04,4.73E-04,1.782,1.656,351.88,346.49,291.18,296.46,1446.3,56.606
7.86E-04,0.001207,0.001051,1.821,2.45,365.15,360.5,298.2,301.24,1668.8,131.4
7.42E-04,7.62E-04,6.84E-04,1.063,0.713,366.53,361.21,309.84,316.8,632.45,11.744
6.88E-04,9.85E-04,2.07E-04,1.47,2.49,348.22,344.7,309.88,311.8,1157,116
3.73E-04,5.70E-04,2.24E-04,0.632,1.612,370.36,354.62,293.64,299.19,237.96,52.335
5.99E-04,3.56E-04,1.61E-04,0.67,2.061,346.07,336.38,302.58,305.53,292.84,81.629
6.51E-04,2.44E-04,0.001223,0.275,2.042,349.7,327.42,291.1,293.93,74.258,90.91
9.64E-04,0.00114,0.001303,1.458,0.971,370.36,365.3,290.78,297.42,1150.4,24.061
1.04E-04,3.90E-04,9.18E-04,0.888,0.923,367.39,357.7,299.06,307.46,408.52,19.121
3.43E-04,3.34E-04,4.35E-04,1.092,2.168,358.28,347.6,295.92,300.8,630.45,92.671
4.34E-04,7.32E-04,8.80E-04,0.691,2.483,353.83,343.66,303.4,306.01,291.74,126.03
0.001056,0.001022,0.00109,0.744,2.317,342.77,337.3,305.98,307.6,383.53,115.1
1.50E-04,9.54E-04,0.001055,1.909,2.487,347.99,344.23,301.78,304.34,1661.6,131.43
0.001185,0.001044,8.90E-04,1.274,0.482,367.52,363.83,306.5,315.05,948.89,6.5103
8.70E-05,5.92E-04,0.001443,0.738,1.698,364.19,352.04,303.72,308.5,298.03,64.815
4.30E-04,0.001114,9.08E-04,0.622,2.187,362.67,350.45,293.9,297.06,237.76,104.97
2.49E-04,6.39E-04,5.48E-04,1.641,2.048,350.76,345.29,295.48,299.42,1287.9,86.118
6.54E-04,1.86E-04,6.18E-04,0.797,0.578,351.95,345.56,300,308.04,389.08,8.3816
8.17E-04,0.001248,2.40E-04,1.755,1.038,370.69,366.91,303.04,308.53,1554.1,23.349
8.40E-05,3.31E-04,3.03E-04,1.65,1.643,358.48,352.09,305.24,310.96,1239.7,52.992
0.001136,0.001227,0.001043,1.147,2.426,342.34,338.04,296.3,298.15,828.31,130.35
6.80E-04,3.90E-04,0.001384,0.155,1.696,362.41,334.21,305.86,308.25,25.4,63.851
0.001038,3.39E-04,7.21E-04,1.911,1.92,343.43,339.84,302.94,306.18,2001.4,75.35
3.13E-04,8.55E-04,4.76E-04,0.518,0.692,348.35,341.05,301.36,306.43,177.6,11.703
4.25E-04,2.19E-04,4.25E-04,1.972,2.263,341.68,337.3,302.98,306.52,1886.6,98.52
0.001004,6.09E-04,9.46E-04,1.061,1.937,368.97,359.05,293.28,298.12,664.35,80.497
7.55E-04,7.26E-04,4.04E-04,0.484,2.395,363.76,347.91,300.68,303.61,166.27,113.63
2.83E-04,9.20E-05,8.98E-04,1.46,1.488,343.04,337.79,304.6,309.31,1073.2,46.204
9.27E-04,6.92E-04,4.45E-04,1.075,1.885,372.93,363.16,296.46,301.36,663.93,72.545
6.11E-04,8.67E-04,0.001005,1.755,1.526,360.2,355.85,302.46,306.84,1523.6,51.596
7.40E-05,5.71E-04,6.84E-04,0.21,2.477,364.32,336.42,304.6,306.79,39.567,121.37
4.09E-04,4.15E-04,9.29E-04,1.268,1.969,363.03,353.27,291.14,296.83,821.61,81.899
2.04E-04,5.06E-04,3.23E-04,1.761,2.216,362.34,355.55,300.94,305.77,1414.2,95.453
3.12E-04,0.001083,0.001276,0.934,1.555,365.15,356.94,298.7,303.08,466.2,56.088
8.96E-04,6.54E-04,0.001292,0.698,1.597,355.87,346.82,303.62,307.22,321.93,57.279
0.001105,3.62E-04,9.73E-04,1.721,1.54,363.1,357.71,304.68,310.02,1614.7,50.391
2.65E-04,6.07E-04,0.00111,1.413,0.936,349.9,346.12,304.34,309.5,989.77,20.237
5.70E-05,4.63E-04,1.13E-04,1.453,2.151,362.34,353.96,300.36,305.47,977.71,88.18
9.10E-05,3.85E-04,0.001128,0.7,1.61,343.43,333.23,290.86,295.03,289.89,57.23
0.001118,4.14E-04,1.73E-04,1.263,0.761,369.07,362.87,295.06,304.19,921.61,13.068
0.001075,8.68E-04,0.001255,0.997,1.813,355.35,348.03,290.58,294.23,620.99,75.196
7.10E-04,4.36E-04,6.09E-04,0.613,1.112,363.73,351.04,290.76,297.14,244.11,27.03
5.68E-04,2.52E-04,0.001152,0.928,1.603,342.31,334.63,294.96,299.09,514.71,56.135
1.13E-04,1.94E-04,0.0011,0.503,0.866,360.82,345.98,294.56,302.52,158.31,17.735
3.31E-04,7.84E-04,7.95E-04,0.334,2.345,371.78,345.92,291.62,295.01,88.578,116.49
3.33E-04,7.09E-04,2.56E-04,0.63,1.712,357.82,345.62,293.6,297.73,242.18,59.797
3.87E-04,9.19E-04,5.96E-04,1.896,1.889,362.04,357.11,294.78,299.15,1669.6,75.384
7.09E-04,0.001078,4.98E-04,0.163,0.675,351.48,334.78,299.36,303.13,27.787,11.752
4.63E-04,3.15E-04,0.001213,0.554,1.049,361.62,347.73,293.06,299.76,197.79,25.421
7.01E-04,5.17E-04,6.27E-04,0.662,0.48,349.37,343.42,297.84,305.36,286.8,6.5275
3.44E-04,5.47E-04,1.30E-04,0.757,2.418,357.29,344.21,291.86,295.63,334.19,113.47
3.20E-04,0.001052,9.56E-04,1.681,2.492,357.46,352.29,296.14,299.22,1342.1,133.8
2.94E-04,9.31E-04,0.001251,1.761,0.658,351.98,349.12,298.56,305.31,1464.1,11.762
5.51E-04,0.00119,2.68E-04,1.187,1.845,369.4,362.66,301.74,305.56,737.95,70.187
1.79E-04,7.96E-04,8.37E-04,1.12,1.845,341.82,337.72,309.26,311.52,659.77,71.942
0.001022,9.86E-04,8.86E-04,0.725,1.082,363.83,354.98,291.62,296.93,344.74,27.52
5.24E-04,8.38E-04,9.32E-04,0.341,0.436,369.6,356.5,302.18,311.54,87.982,5.6427
3.16E-04,5.34E-04,4.99E-04,0.379,2.156,358.91,342.15,308.58,311.33,109.04,91.276
7.01E-04,0.001234,9.63E-04,1.154,1.79,368.71,361.87,299.14,302.98,723.87,71.698
6.80E-04,5.36E-04,9.32E-04,1.377,2.487,368.02,359,297.1,301.57,991.13,127.54
0.001148,8.04E-04,7.02E-04,1.823,0.898,368.15,364.39,302.1,308.74,1785.2,18.222
6.58E-04,1.27E-04,0.001447,0.26,2.29,356.27,332.25,303.4,305.96,66.425,111.41
1.76E-04,0.001164,3.93E-04,1.588,1.242,365.54,360.72,294.44,299.84,1159.1,33.544
7.19E-04,4.72E-04,2.49E-04,1.563,2.271,349.9,343.8,292.86,296.64,1297.8,101.28
5.55E-04,2.59E-04,0.001309,0.754,0.786,368.31,356.88,292.2,302.09,334.4,15.504
8.32E-04,5.24E-04,0.001286,0.963,0.648,353.7,348.54,301.7,308.64,557.11,10.974
0.00119,0.001215,8.17E-04,1.937,1.166,363.17,360.17,307.76,311.9,2024.5,30.816
6.46E-04,8.97E-04,4.18E-04,0.564,1.456,360.2,349.31,300.52,304.37,210.57,44.744
7.40E-04,7.38E-04,3.48E-04,0.594,1.826,345.21,337.99,308.4,310.57,244.65,67.04
3.85E-04,5.36E-04,6.62E-04,0.706,1.517,368.08,356.32,309.22,314.16,288.83,47.696
9.44E-04,5.17E-04,7.80E-05,1.941,1.765,369.37,363.23,292.7,298.52,1917.9,61.116
1.51E-04,4.82E-04,4.76E-04,0.552,2.067,370.79,352.19,304.12,308.62,181.58,84.509
4.70E-04,2.61E-04,5.67E-04,0.144,0.948,357.92,333.41,304.26,307.74,21.163,19.373
2.51E-04,4.63E-04,6.03E-04,1.058,1.782,362.41,352.09,294.98,300.52,579.57,65.324
5.82E-04,5.80E-04,0.001013,0.849,1.952,364.75,354.22,305.06,309.18,417.06,80.642
0.001046,0.001004,0.00111,1.567,1.796,346.6,343.14,299.98,302.69,1396.5,72.539
6.39E-04,6.60E-05,0.001003,0.425,0.81,362.97,348.17,304.78,311.93,131.6,14.798
5.66E-04,2.88E-04,0.001195,1.346,1.309,369.27,361.16,303.06,310.51,927.32,37.528
3.70E-04,7.68E-04,0.001106,1.903,1.973,353.53,349.68,307.26,310.56,1702.9,83.848
3.36E-04,0.001083,6.70E-04,1.916,2.145,366.3,361.69,303.76,307.36,1670.1,96.203
0.001195,9.37E-04,1.80E-04,0.733,2.109,358.18,349.47,300.88,303.63,369.08,88.789
2.48E-04,6.70E-04,0.001033,1.593,1.118,359.34,354.9,306.24,311.83,1196.5,28.042
0.00112,8.23E-04,0.001178,0.328,1.169,345.41,334.72,299.18,302,109.53,31.982
5.23E-04,3.64E-04,5.90E-04,1.288,1.251,365.28,358.27,306.48,312.94,856.19,32.488
3.58E-04,8.90E-04,1.09E-04,1.265,1.078,367.06,360.81,293.82,300.25,799.3,24.654
7.80E-05,0.001143,0.001215,0.592,1.395,353.4,345.22,305.46,308.65,208.73,45.28
5.60E-05,1.10E-04,1.41E-04,0.852,0.713,371.61,360,293.42,305.89,373.61,11.379
7.88E-04,8.70E-04,0.001276,0.921,0.471,352.44,347.87,293.16,301.32,511.88,7.1481
3.67E-04,7.35E-04,0.001274,0.657,2.336,354.85,342.24,291.64,294.92,264.77,121.19
2.36E-04,1.94E-04,0.001379,0.514,1.007,349.97,337.09,290.32,296.48,175.38,24.439
1.80E-04,0.001177,7.10E-05,0.184,1.383,362.44,339.16,297.22,300.09,31.342,40.204
6.31E-04,7.21E-04,0.001289,0.421,0.488,363.86,353.58,305.46,313.56,126.91,6.8432
9.88E-04,5.29E-04,0.001181,1.05,1.351,343.6,339.38,308.82,311.77,685.99,40.685
5.40E-04,3.82E-04,2.78E-04,1.168,1.563,361.75,353.79,303.82,309.2,728.77,48.398
8.84E-04,0.001095,1.76E-04,1.474,1.969,370.2,364.93,309,312.41,1155.1,77.101
