D_foul1 (m),D_foul2 (m),D_foul3 (m),mfr1 (kg/s),mfr2 (kg/s),Inner inlet temperature (K),Inner outlet temperature (K),Outer inlet temperature (K),Outer outlet temperature (K),Inner Pressure Drop (Pa),Outer Pressure Drop (Pa)
9.03E-04,0.00117,6.46E-04,0.22,2.132,361.19,342.69,308.24,310,49.983,94.748
2.59E-04,2.98E-04,6.11E-04,1.856,2.055,347.95,342.69,301.84,306.15,1617.1,84.309
8.23E-04,9.03E-04,0.00108,1.679,0.404,341.88,340.24,302.2,308.42,1524.2,5.2389
5.97E-04,0.001015,7.81E-04,0.493,1.853,341.62,334.55,306.82,308.58,179.01,73.591
4.80E-04,5.86E-04,0.001204,1.641,1.551,363.99,357.88,297.98,303.72,1309.6,53.47
2.62E-04,3.63E-04,9.49E-04,0.242,1.78,348.02,327.77,296.7,299.3,54.062,67.942
4.32E-04,9.16E-04,0.001141,0.59,0.858,352.05,344.6,301.94,306.66,222.53,17.938
0.001002,3.24E-04,8.80E-04,0.845,2.095,351.29,342.63,305.22,308.4,464.04,89.612
9.93E-04,4.58E-04,0.001131,1.44,2.004,346.7,341.13,293.78,297.42,1192.7,87.183
2.40E-04,4.51E-04,0.001419,1.662,0.616,350.86,347.33,294.94,303.49,1311.3,10.549
7.08E-04,2.38E-04,9.32E-04,0.206,1.223,353.37,330.76,293.38,296.96,43.575,33.009
0.001107,4.92E-04,6.83E-04,0.493,2.233,356.76,342.09,298.34,301.34,188.06,101.85
1.81E-04,2.49E-04,4.69E-04,1.901,0.931,363.96,358.58,291.92,301.73,1606.6,18.93
1.54E-04,7.81E-04,8.80E-05,1.894,2.332,367.98,362.09,304.42,308.61,1576.3,102.99
2.81E-04,7.50E-05,0.001334,0.792,1.101,361.15,349.74,303.72,311.18,352.2,27.005
0.001047,7.28E-04,1.38E-04,1.358,0.99,359.44,355.06,302.12,307.48,1052.7,20.553
8.90E-05,0.001126,6.00E-05,1.061,1.169,349.31,344.68,299.78,303.59,578.33,28.829
6.31E-04,0.001146,6.27E-04,1.569,1.477,344.92,341.42,291.76,295.03,1295.1,48.419
2.65E-04,8.19E-04,1.62E-04,1.05,1.009,352.57,346.94,294.28,299.62,583.3,22.123
1.32E-04,2.17E-04,9.99E-04,1.367,0.795,367.26,359.81,290.74,302.23,879.38,15.262
1.75E-04,9.50E-04,4.71E-04,0.128,2.223,357.46,331.67,306.72,308.1,16.084,99.664
9.17E-04,0.001012,1.65E-04,1.436,1.003,369.9,365.14,301.2,307.16,1109.8,21.461
1.66E-04,5.08E-04,0.001205,1.365,2.139,353.33,345.47,292,296.57,911.51,99.621
8.40E-05,7.90E-04,0.001134,0.854,0.948,372.47,362.49,293.76,301.69,375.67,21.586
9.29E-04,5.08E-04,6.63E-04,1.24,2.059,360.36,351.89,290.02,294.59,877.88,87.85
7.71E-04,8.31E-04,1.17E-04,1.054,0.864,343.3,339.27,296.4,300.9,662.08,16.881
0.001018,1.36E-04,9.32E-04,0.915,2.3,354.78,343.2,296.74,300.98,532.54,107.92
0.001071,4.90E-04,0.001351,0.191,0.637,368.18,343.44,292.68,299.51,39.857,11.497
3.65E-04,0.001089,0.001184,1.314,1.794,360.49,354.3,293.8,297.81,868.45,73.659
1.14E-04,0.001214,0.001036,1.876,0.797,355.71,352.52,292.28,298.75,1571.4,16.782
3.35E-04,2.74E-04,5.64E-04,1.221,0.946,350.73,345.93,307.5,313.04,774.06,18.982
1.18E-04,6.73E-04,0.001149,1.966,0.555,362.7,359.17,290.9,301.93,1686.7,8.9089
8.77E-04,0.001159,5.02E-04,0.366,2.462,368.41,349.93,296.46,298.99,107.94,125.83
3.38E-04,0.001054,1.34E-04,1.54,0.528,361.25,357.7,292.06,301.25,1140.4,7.6899
0.0011,3.75E-04,8.51E-04,0.738,1.736,341.02,333.13,294.88,298.01,386.09,64.175
8.96E-04,4.50E-04,2.03E-04,1.075,0.427,352.77,348.59,292.96,302.47,685.4,5.3219
4.76E-04,2.90E-04,0.00143,1.952,0.942,347.29,344.04,299.72,305.81,1843.2,20.935
0.001199,4.10E-04,0.001127,1.561,1.914,351.55,345.85,292.1,296.31,1417.9,79.593
6.62E-04,1.10E-04,2.57E-04,0.926,1.757,348.18,339,299.56,304.04,514.49,59.967
9.76E-04,6.61E-04,3.26E-04,1.215,1.173,363.69,357.71,300.44,305.97,845.51,28.746
4.71E-04,7.76E-04,0.001173,1.504,0.543,346.37,343.49,293.72,301.01,1159.1,8.8095
2.08E-04,8.22E-04,5.92E-04,1.326,1.906,358.94,352.18,295.64,299.89,859.97,76.139
